"Rank[dp 1]","Mountain name(s)","Height(rounded)[dp 2]","Prominence(rounded)[dp 3]","Range","Coordinates[dp 4]","Parent mountain[dp 5]","Ascents before2004[dp 6]","Country","Photo","","","",""
"1","Mount EverestSagarmathaChomolungma","8,849","29,032[dp 7]","8,849","29,032","Mahalangur Himalaya","27°59′18″N 86°55′30″E﻿ / ﻿27.9882361°N 86.9250181°E﻿ / 27.9882361; 86.9250181﻿ (1. Mount Everest / Sagarmatha / Chomolungma / Zhumulangma (8848 m))","—","1953","145","121","NepalChina",""
"2","K2","8,611","28,251","4,020","13,190","Baltoro Karakoram","35°52′53″N 76°30′48″E﻿ / ﻿35.88139°N 76.51333°E﻿ / 35.88139; 76.51333﻿ (2. K2 / Qogir / Godwin Austen (8611 m))","Mount Everest","1954","45","44","Pakistan, China",""
"3","Kangchenjunga","8,586","28,169","3,922","12,867","Kangchenjunga Himalaya","27°42′12″N 88°08′51″E﻿ / ﻿27.70333°N 88.14750°E﻿ / 27.70333; 88.14750﻿ (3. Kangchenjunga (8586 m)) *","Mount Everest","1955","38","24","NepalIndia",""
"4","Lhotse","8,516","27,940","610","2,000","Mahalangur Himalaya","27°57′42″N 86°55′59″E﻿ / ﻿27.96167°N 86.93306°E﻿ / 27.96167; 86.93306﻿ (4. Lhotse (8516 m))","Mount Everest","1956","26","26","ChinaNepal",""
"5","Makalu","8,485","27,838","2,378","7,802","Mahalangur Himalaya","27°53′23″N 87°05′20″E﻿ / ﻿27.88972°N 87.08889°E﻿ / 27.88972; 87.08889﻿ (5. Makalu (8485 m))","Mount Everest","1955","45","—","NepalChina",""
"6","Cho Oyu","8,188","26,864[dp 8]","2,340","7,680","Mahalangur Himalaya","28°05′39″N 86°39′39″E﻿ / ﻿28.09417°N 86.66083°E﻿ / 28.09417; 86.66083﻿ (6. Cho Oyu (8188 m))","Mount Everest","1954","79","28","ChinaNepal",""
"7","Dhaulagiri I","8,167","26,795","3,357","11,014","Dhaulagiri Himalaya","28°41′48″N 83°29′35″E﻿ / ﻿28.69667°N 83.49306°E﻿ / 28.69667; 83.49306﻿ (7. Dhaulagiri I (8167 m))","K2","1960","51","39","Nepal",""
"8","Manaslu","8,163","26,781","3,092","10,144","Manaslu Himalaya","28°33′00″N 84°33′35″E﻿ / ﻿28.55000°N 84.55972°E﻿ / 28.55000; 84.55972﻿ (8. Manaslu (8163 m))","Cho Oyu","1956","49","45","Nepal",""
"9","Nanga Parbat","8,126","26,660","4,608","15,118","Nanga Parbat Himalaya","35°14′14″N 74°35′21″E﻿ / ﻿35.23722°N 74.58917°E﻿ / 35.23722; 74.58917﻿ (9. Nanga Parbat (8126 m))","Dhaulagiri","1953","52","67","Pakistan",""
"10","Annapurna I","8,091","26,545","2,984","9,790","Annapurna Himalaya","28°35′44″N 83°49′13″E﻿ / ﻿28.59556°N 83.82028°E﻿ / 28.59556; 83.82028﻿ (10. Annapurna I (8091 m))","Cho Oyu","1950","97","88","Nepal",""
"11","Gasherbrum IHidden PeakK5","8,080","26,510","2,155","7,070","Baltoro Karakoram","35°43′28″N 76°41′47″E﻿ / ﻿35.72444°N 76.69639°E﻿ / 35.72444; 76.69639﻿ (11. Gasherbrum I / Hidden Peak / K5 (8080 m))","K2","1958","31","16","Pakistan, China",""
"12","Broad Peak","8,051","26,414","1,701","5,581","Baltoro Karakoram","35°48′38″N 76°34′06″E﻿ / ﻿35.81056°N 76.56833°E﻿ / 35.81056; 76.56833﻿ (12. Broad Peak / K3 (8051 m))","Gasherbrum I","1957","39","19","Pakistan, China",""
"13","Gasherbrum IIK4","8,035","26,362","1,524","5,000","Baltoro Karakoram","35°45′28″N 76°39′12″E﻿ / ﻿35.75778°N 76.65333°E﻿ / 35.75778; 76.65333﻿ (13. Gasherbrum II / K4 (8035 m))","Gasherbrum I","1956","54","12","Pakistan, China",""
"14","ShishapangmaGosainthan","8,027","26,335","2,897","9,505","Jugal Himalaya","28°21′12″N 85°46′43″E﻿ / ﻿28.35333°N 85.77861°E﻿ / 28.35333; 85.77861﻿ (14. Shishapangma (8027 m))","Cho Oyu","1964","43","19","China",""
"15","Gyachung Kang","7,952","26,089","672","2,205","Mahalangur Himalaya","28°05′53″N 86°44′42″E﻿ / ﻿28.09806°N 86.74500°E﻿ / 28.09806; 86.74500﻿ (15. Gyachung Kang (7952 m))","Cho Oyu","1964","5","3","NepalChina",""
"","Gasherbrum IIIK3a","7,946","26,070","355","1,165","Baltoro Karakoram","35°45′33″N 76°38′30″E﻿ / ﻿35.75917°N 76.64167°E﻿ / 35.75917; 76.64167﻿ (Gasherbrum III (7946 m))","Gasherbrum II","1975","2","2","Pakistan, China",""
"16","Annapurna II","7,937","26,040","2,437","7,995","Annapurna Himalaya","28°32′05″N 84°07′19″E﻿ / ﻿28.53472°N 84.12194°E﻿ / 28.53472; 84.12194﻿ (16. Annapurna II (7937 m))","Annapurna I","1960","6","19","Nepal",""
"17","Gasherbrum IVK3","7,932","26,024","712","2,336","Baltoro Karakoram","35°45′38″N 76°36′58″E﻿ / ﻿35.76056°N 76.61611°E﻿ / 35.76056; 76.61611﻿ (17. Gasherbrum IV (7932 m))","Gasherbrum III","1958","4","11","Pakistan",""
"18","Himalchuli","7,893","25,896","1,633","5,358","Manaslu Himalaya","28°26′12″N 84°38′23″E﻿ / ﻿28.43667°N 84.63972°E﻿ / 28.43667; 84.63972﻿ (18. Himalchuli (7893 m)) *","Manaslu","1960","6","12","Nepal",""
"19","Distaghil Sar","7,884","25,866","2,525","8,284","Hispar Karakoram","36°19′33″N 75°11′16″E﻿ / ﻿36.32583°N 75.18778°E﻿ / 36.32583; 75.18778﻿ (19. Distaghil Sar (7884 m))","K2","1960","3","5","Pakistan",""
"20","Ngadi Chuli","7,871","25,823","1,011","3,317","Manaslu Himalaya","28°30′12″N 84°34′00″E﻿ / ﻿28.50333°N 84.56667°E﻿ / 28.50333; 84.56667﻿ (20. Ngadi Chuli (7871 m))","Manaslu","1979","1","6","Nepal",""
"","Nuptse","7,864","25,801","305","1,001","Mahalangur Himalaya","27°58′03″N 86°53′13″E﻿ / ﻿27.96750°N 86.88694°E﻿ / 27.96750; 86.88694﻿ (Nuptse (7864 m))","Lhotse","1961","5","12","Nepal",""
"21","Khunyang Chhish","7,823","25,666","1,765","5,791","Hispar Karakoram","36°12′19″N 75°12′28″E﻿ / ﻿36.20528°N 75.20778°E﻿ / 36.20528; 75.20778﻿ (21. Khunyang Chhish (7823 m)) *","Distaghil Sar","1971","2","6","Pakistan",""
"22","MasherbrumK1","7,821","25,659","2,457","8,061","Masherbrum Karakoram","35°38′28″N 76°18′21″E﻿ / ﻿35.64111°N 76.30583°E﻿ / 35.64111; 76.30583﻿ (22. Masherbrum / K1 (7821 m))","Gasherbrum I","1960","4","9","Pakistan",""
"23","Nanda Devi","7,816","25,643","3,139","10,299","Garhwal Himalaya","30°22′33″N 79°58′15″E﻿ / ﻿30.37583°N 79.97083°E﻿ / 30.37583; 79.97083﻿ (23. Nanda Devi (7816 m))","Dhaulagiri","1936","14","12","India",""
"24","Chomo Lonzo","7,804","25,604","590","1,940","Mahalangur Himalaya","27°55′50″N 87°06′28″E﻿ / ﻿27.93056°N 87.10778°E﻿ / 27.93056; 87.10778﻿ (24. Chomo Lonzo (7804 m))","Makalu","1954","3","1","China",""
"25","Batura Sar","7,795","25,574","3,118","10,230","Batura Karakoram","36°30′37″N 74°31′21″E﻿ / ﻿36.51028°N 74.52250°E﻿ / 36.51028; 74.52250﻿ (25. Batura Sar (7795 m))","Distaghil Sar","1976","4","6","Pakistan",""
"26","Rakaposhi","7,788","25,551","2,818","9,245","Rakaposhi-Haramosh Karakoram","36°08′33″N 74°29′22″E﻿ / ﻿36.14250°N 74.48944°E﻿ / 36.14250; 74.48944﻿ (26. Rakaposhi (7788 m))","Khunyang Chhish","1958","8","13","Pakistan",""
"27","Namcha Barwa","7,782","25,531","4,106","13,471","Assam Himalaya","29°37′52″N 95°03′19″E﻿ / ﻿29.63111°N 95.05528°E﻿ / 29.63111; 95.05528﻿ (27. Namcha Barwa (7782 m))","Kangchenjunga","1992","1","2","China",""
"28","Kanjut Sar","7,760","25,460","1,660","5,450","Hispar Karakoram","36°12′20″N 75°25′01″E﻿ / ﻿36.20556°N 75.41694°E﻿ / 36.20556; 75.41694﻿ (28. Kanjut Sar (7760 m))","Khunyang Chhish","1959","2","1","Pakistan",""
"29","Kamet","7,756","25,446","2,825","9,268","Garhwal Himalaya","30°55′12″N 79°35′30″E﻿ / ﻿30.92000°N 79.59167°E﻿ / 30.92000; 79.59167﻿ (29. Kamet (7756 m)) *","Nanda Devi","1931","23","14","India",""
"30","Dhaulagiri II","7,751","25,430","2,397","7,864","Dhaulagiri Himalaya","28°45′46″N 83°23′18″E﻿ / ﻿28.76278°N 83.38833°E﻿ / 28.76278; 83.38833﻿ (30. Dhaulagiri II (7751 m))","Dhaulagiri","1971","4","11","Nepal",""
"31","Saltoro KangriK10","7,742","25,400","2,160","7,090","Saltoro Karakoram","35°23′57″N 76°50′53″E﻿ / ﻿35.39917°N 76.84806°E﻿ / 35.39917; 76.84806﻿ (31. Saltoro Kangri / K10 (7742 m)) *","Gasherbrum I","1962","2","1","Pakistan, India",""
"32","KumbhakarnaJannu","7,711","25,299","1,036","3,399","Kangchenjunga Himalaya","27°40′56″N 88°02′40″E﻿ / ﻿27.68222°N 88.04444°E﻿ / 27.68222; 88.04444﻿ (32. Jannu (7711 m)) *","Kangchenjunga","1962","17","12","Nepal",""
"33","Tirich Mir","7,708","25,289","3,910","12,830","Hindu Kush","36°15′19″N 71°50′30″E﻿ / ﻿36.25528°N 71.84167°E﻿ / 36.25528; 71.84167﻿ (33. Tirich Mir (7708 m)) *","Batura Sar","1950","20","11","Pakistan",""
"","Molamenqing","7,703","25,272","433","1,421","Langtang Himalaya","28°21′18″N 85°48′35″E﻿ / ﻿28.35500°N 85.80972°E﻿ / 28.35500; 85.80972﻿ (Molamenqing (7703 m))","Shishapangma","1981","1","0","China",""
"34","Gurla Mandhata","7,694","25,243","2,788","9,147","Nalakankar Himalaya","30°26′19″N 81°17′48″E﻿ / ﻿30.43861°N 81.29667°E﻿ / 30.43861; 81.29667﻿ (34. Gurla Mandhata (7694 m))","Dhaulagiri","1985","6","4","China",""
"35","Saser Kangri IK22","7,672","25,171","2,304","7,559","Saser Karakoram","34°52′00″N 77°45′09″E﻿ / ﻿34.86667°N 77.75250°E﻿ / 34.86667; 77.75250﻿ (35. Saser Kangri I / K22 (7672 m))","Gasherbrum I","1973","6","4","India",""
"36","Chogolisa","7,665","25,148","1,624","5,328","Masherbrum Karakoram","35°36′47″N 76°34′29″E﻿ / ﻿35.61306°N 76.57472°E﻿ / 35.61306; 76.57472﻿ (36. Chogolisa (7665 m))","Gasherbrum I","1975","4","2","Pakistan",""
"","Dhaulagiri IV","7,661","25,135","469","1,539","Dhaulagiri Himalaya","28°44′09″N 83°18′55″E﻿ / ﻿28.73583°N 83.31528°E﻿ / 28.73583; 83.31528﻿ (Dhaulagiri IV (7661 m))","Dhaulagiri II","1975","2","10","Nepal",""
"37","Kongur Tagh","7,649","25,095","3,585","11,762","Kongur Shan (Eastern Pamirs)","38°35′36″N 75°18′48″E﻿ / ﻿38.59333°N 75.31333°E﻿ / 38.59333; 75.31333﻿ (37. Kongur Tagh (7649 m))","Distaghil Sar","1981","2","4","China",""
"","Dhaulagiri V","7,618","24,993","340","1,120","Dhaulagiri Himalaya","28°44′02″N 83°21′41″E﻿ / ﻿28.73389°N 83.36139°E﻿ / 28.73389; 83.36139﻿ (Dhaulagiri V (7618 m)) *","Dhaulagiri IV","1975","2","3","Nepal",""
"38","Shispare","7,611","24,970","1,240","4,070","Batura Karakoram","36°26′26″N 74°40′51″E﻿ / ﻿36.44056°N 74.68083°E﻿ / 36.44056; 74.68083﻿ (38. Shispare (7611 m))","Batura Sar","1974","3","1","Pakistan",""
"39","Trivor","7,577","24,859","997","3,271","Hispar Karakoram","36°17′15″N 75°05′06″E﻿ / ﻿36.28750°N 75.08500°E﻿ / 36.28750; 75.08500﻿ (39. Trivor (7577 m)) *","Distaghil Sar","1960","2","5","Pakistan",""
"40","Gangkhar Puensum","7,570","24,840","2,995","9,826","Kula Kangri Himalaya","28°02′50″N 90°27′19″E﻿ / ﻿28.04722°N 90.45528°E﻿ / 28.04722; 90.45528﻿ (40. Gangkhar Puensum (7570 m)) *","Kangchenjunga","","0","3","BhutanChina",""
"41","Gongga ShanMinya Konka","7,556","24,790","3,642","11,949","Daxue Mountains (Hengduan Shan)","29°35′43″N 101°52′47″E﻿ / ﻿29.59528°N 101.87972°E﻿ / 29.59528; 101.87972﻿ (41. Gongga Shan / Minya Konka (7556 m))","Mount Everest","1932","6","7","China",""
"42","Annapurna III","7,555","24,787","703","2,306","Annapurna Himalaya","28°35′06″N 83°59′24″E﻿ / ﻿28.58500°N 83.99000°E﻿ / 28.58500; 83.99000﻿ (42. Annapurna III (7555 m))","Annapurna I","1961","10","17","Nepal",""
"43","Skyang Kangri","7,545","24,754","1,085","3,560","Baltoro Karakoram","35°55′35″N 76°34′03″E﻿ / ﻿35.92639°N 76.56750°E﻿ / 35.92639; 76.56750﻿ (43. Skyang Kangri (7545 m))","K2","1976","1","2","Pakistan, China",""
"44","Changtse","7,543","24,747[dp 9]","514","1,686","Mahalangur Himalaya","28°01′29″N 86°54′51″E﻿ / ﻿28.02472°N 86.91417°E﻿ / 28.02472; 86.91417﻿ (44. Changtse (7543 m))","Mount Everest","1982","9","9","China",""
"45","Kula Kangri","7,538","24,731","1,654","5,427","Kula Kangri Himalaya","28°13′37″N 90°36′59″E﻿ / ﻿28.22694°N 90.61639°E﻿ / 28.22694; 90.61639﻿ (45. Kula Kangri (7538 m))","Gangkhar Puensum","1986","3","2","ChinaBhutan[dp 10]",""
"46","Kongur Tiube","7,530","24,700","840","2,760","Kongur Shan (Eastern Pamirs)","38°36′57″N 75°11′45″E﻿ / ﻿38.61583°N 75.19583°E﻿ / 38.61583; 75.19583﻿ (46. Kongur Tiube (7530 m))","Kongur Tagh","1956","2","3","China",""
"","Annapurna IV","7,525","24,688","255","837","Annapurna Himalaya","28°32′15″N 84°4′58″E﻿ / ﻿28.53750°N 84.08278°E﻿ / 28.53750; 84.08278﻿ (Annapurna IV (7,525 m))","Annapurna","1955","43","18","Nepal",""
"47","Mamostong Kangri","7,516","24,659","1,803","5,915","Rimo Karakoram","35°08′31″N 77°34′39″E﻿ / ﻿35.14194°N 77.57750°E﻿ / 35.14194; 77.57750﻿ (47. Mamostong Kangri (7516 m))","Gasherbrum I","1984","5","0","India",""
"48","Saser Kangri II E","7,513","24,649","1,458","4,783","Saser Karakoram","34°48′17″N 77°48′24″E﻿ / ﻿34.80472°N 77.80667°E﻿ / 34.80472; 77.80667﻿ (48. Saser Kangri II E (7513 m))","Saser Kangri I","2011","0","0[dp 11]","India",""
"49","Muztagh Ata","7,509","24,636","2,698","8,852","Muztagata (Eastern Pamirs)","38°16′33″N 75°06′58″E﻿ / ﻿38.27583°N 75.11611°E﻿ / 38.27583; 75.11611﻿ (49. Muztagh Ata (7546 m))","Kongur Tagh","1956","","—","China",""
"50","Ismoil Somoni Peak","7,495","24,590","3,402","11,161","Pamir (Academy of Sciences Range)","38°56′35″N 72°00′57″E﻿ / ﻿38.94306°N 72.01583°E﻿ / 38.94306; 72.01583﻿ (50. Ismoil Somoni Peak (7495 m))","Muztagh Ata","1933","","—","Tajikistan",""
"51","Saser Kangri III","7,495","24,590","835","2,740","Saser Karakoram","34°50′44″N 77°47′06″E﻿ / ﻿34.84556°N 77.78500°E﻿ / 34.84556; 77.78500﻿ (51. Saser Kangri III (7495 m))","Saser Kangri I","1986","1","0","India'[dp 12]",""
"52","Noshaq","7,492","24,580","2,024","6,640","Hindu Kush","36°25′56″N 71°49′43″E﻿ / ﻿36.43222°N 71.82861°E﻿ / 36.43222; 71.82861﻿ (52. Noshaq (7492 m))","Tirich Mir","1960","33","3","AfghanistanPakistan",""
"53","Pumari Chhish","7,492","24,580","884","2,900","Hispar Karakoram","36°12′41″N 75°15′01″E﻿ / ﻿36.21139°N 75.25028°E﻿ / 36.21139; 75.25028﻿ (53. Pumari Chhish (7492 m))","Khunyang Chhish","1979","1","2","Pakistan",""
